microsoft/deberta-v3-base, el
novelcore/gem-roberta, el
novelcore/gem-modernbert, el
novelcore/gem-electra, el
dkleczek/bert-base-polish-cased-v1, el
allegro/herbert-base-cased, pl
allegro/herbert-base-large, pl
sdadas/polish-roberta-base-v2, pl
sdadas/polish-roberta-large-v2, pl
answerdotai/ModernBERT-base, en
answerdotai/ModernBERT-large, en
bigcode/starencoder, en
microsoft/codebert-base, en
huggingface/CodeBERTa-small-v1, en
google-bert/bert-base-cased, en
google-bert/bert-large-cased, en
FacebookAI/xlm-roberta-base, en
FacebookAI/xlm-roberta-large, en
microsoft/deberta-v3-large, en
albert/albert-base-v2, en
albert/albert-large-v2, en
answerdotai/ModernBERT-base, en
answerdotai/ModernBERT-large, en
hfl/chinese-macbert-large, zh
hfl/chinese-macbert-base, zh
feynmanzhao/chinese-modernbert-large-wwm, zh
hfl/chinese-roberta-wwm-ext, zh
hfl/chinese-bert-wwm-ext, zh
GroNLP/bert-base-dutch-cased, nl
pdelobelle/robbert-v2-dutch-base, nl
DTAI-KULeuven/robbert-2023-dutch-large, nl
DTAI-KULeuven/robbert-2023-dutch-base, nl
DTAI-KULeuven/robbertje-1-gb-merged, nl
DTAI-KULeuven/robbertje-1-gb-bort, nl
nlpaueb/bert-base-greek-uncased-v1, nl
