LAYER,P,R,F
0,0.47976562,0.48071963,0.47392005
1,0.68516374,0.68592113,0.68372595
2,0.7094242,0.71005833,0.7085383
3,0.733393,0.73416394,0.73285335
4,0.7182766,0.71900964,0.71751463
5,0.7465925,0.74733526,0.74608
6,0.79440856,0.795004,0.7941134
7,0.81681925,0.81737155,0.81667215
8,0.8335675,0.8339246,0.83343863
9,0.8371247,0.8375678,0.83703357
10,0.8602089,0.8606008,0.8601525
11,0.84122115,0.84172773,0.84114397
12,0.84101033,0.84148824,0.8409123
13,0.8368775,0.83728594,0.83678913
14,0.8315182,0.8319603,0.83140707
15,0.8341883,0.83476484,0.8340769
16,0.8418225,0.84224874,0.841735
17,0.8469291,0.84736246,0.84684485
18,0.84278005,0.8431806,0.84265786
19,0.8446008,0.84496725,0.8444692
20,0.8204806,0.8208913,0.82032377
21,0.8322164,0.8325829,0.8320972
22,0.8517404,0.8519768,0.8516158
23,0.8531785,0.8533944,0.85298884
24,0.9703732,0.97033155,0.97029835
