LAYER,P,R,F
0,0.39397073,0.3926372,0.39236128
1,0.59945375,0.5978499,0.5983352
2,0.60853136,0.60757214,0.6077619
3,0.6473725,0.6465964,0.6467921
4,0.681045,0.6800534,0.6803433
5,0.68913996,0.68837136,0.6885501
6,0.7323387,0.7315734,0.7318109
7,0.7678852,0.7671987,0.767448
8,0.7984644,0.7978487,0.7980976
9,0.8030047,0.8026687,0.8027782
10,0.81351894,0.8133109,0.813367
11,0.8031859,0.80278796,0.80292326
12,0.81059414,0.8102041,0.8103307
13,0.80556136,0.80529416,0.80536544
14,0.7978785,0.79748404,0.79760355
15,0.8000383,0.7994201,0.7996451
16,0.815209,0.81455344,0.81481516
17,0.82024384,0.8195181,0.8198174
18,0.8254789,0.8248782,0.82512236
19,0.825801,0.825257,0.82547647
20,0.816757,0.8164023,0.81653434
21,0.83241963,0.83209264,0.8322185
22,0.85809565,0.8577923,0.85790706
23,0.8607926,0.8606523,0.8606818
24,0.9467828,0.94702864,0.9468864
