LAYER,P,R,F
0,0.37893936,0.3636709,0.36894304
1,0.63234174,0.63569087,0.63375455
2,0.6917621,0.6937117,0.6924679
3,0.6913197,0.68962634,0.69012624
4,0.7604427,0.756437,0.7582492
5,0.7608913,0.7572215,0.75890905
6,0.7910291,0.7896692,0.7902355
7,0.79534495,0.7984216,0.79680276
8,0.80843437,0.8124081,0.81035864
9,0.81194544,0.81576735,0.8137988
10,0.8034487,0.8080566,0.80569047
11,0.8143343,0.81724364,0.81574315
12,0.81493413,0.8155153,0.8151177
13,0.8096487,0.8086335,0.8089887
14,0.8136192,0.8100147,0.81164765
15,0.8179394,0.8175963,0.81761926
16,0.8171178,0.81749254,0.81717575
17,0.82616365,0.827915,0.82690954
18,0.8320867,0.8336482,0.8327399
19,0.8372227,0.8388509,0.8379168
20,0.8521694,0.853011,0.8524999
21,0.8614392,0.86086047,0.8610672
22,0.86957306,0.86808646,0.8687409
23,0.8689501,0.86812353,0.868443
24,0.98069555,0.981286,0.9809896
