LAYER,P,R,F
0,0.87088037,0.87208533,0.8666549
1,0.8452195,0.8462251,0.8419406
2,0.8375168,0.8383711,0.8352443
3,0.82594776,0.82677424,0.8237681
4,0.81943303,0.82014376,0.81757903
5,0.82024825,0.82093173,0.8184431
6,0.8229284,0.82351637,0.82135504
7,0.82534814,0.825918,0.82390255
8,0.8263752,0.8269604,0.8250674
9,0.8292881,0.82985854,0.8281146
10,0.8291936,0.8297484,0.8281381
11,0.8271911,0.82774746,0.82617754
12,0.8269716,0.82744014,0.8259334
13,0.8277079,0.82813656,0.82672346
14,0.8247092,0.8251016,0.8237555
15,0.8235414,0.82387984,0.82261956
16,0.8228055,0.8230046,0.8218849
17,0.82134306,0.821524,0.8204656
18,0.82105255,0.8212477,0.82022905
19,0.82518685,0.8253236,0.8243908
20,0.83033365,0.830661,0.82966256
21,0.8355936,0.8360294,0.8349334
22,0.85117036,0.8515769,0.850506
23,0.85607964,0.8565146,0.85527456
24,0.84882784,0.8494718,0.847712
