LAYER,P,R,F
0,0.41659236,0.4138699,0.4143329
1,0.7414576,0.7405739,0.74090385
2,0.76663435,0.7661443,0.7663302
3,0.7375426,0.73694193,0.73716277
4,0.74700093,0.74699414,0.74693066
5,0.7414298,0.7416792,0.74147105
6,0.7781554,0.7780908,0.7780648
7,0.8020283,0.8019323,0.8019435
8,0.8233027,0.8231208,0.82318616
9,0.8114412,0.8112887,0.81133825
10,0.8071727,0.80674285,0.806931
11,0.79740477,0.79683,0.79708797
12,0.7837591,0.78331685,0.7834967
13,0.7658536,0.7654094,0.7655881
14,0.7799198,0.77908486,0.77943754
15,0.800208,0.7998603,0.7999777
16,0.81954366,0.819362,0.81942177
17,0.8308417,0.83064306,0.83071905
18,0.8442078,0.8439282,0.844048
19,0.84658563,0.846182,0.8463653
20,0.86188084,0.8615464,0.86169475
21,0.8726182,0.87217957,0.87237924
22,0.8617735,0.86137444,0.8615501
23,0.87704146,0.87669206,0.8768467
24,0.7803382,0.7793609,0.7797907
