LAYER,P,R,F
0,0.23135038,0.2795392,0.25250825
1,0.5055969,0.515182,0.5100919
2,0.69428205,0.6983074,0.69622964
3,0.82859236,0.8323178,0.8304396
4,0.83215886,0.83608234,0.8341102
5,0.84305155,0.8467827,0.8448992
6,0.8373689,0.8388715,0.83811057
7,0.82144046,0.8247925,0.8230982
8,0.8177384,0.8171078,0.81741065
9,0.81287533,0.81498414,0.81391203
10,0.7946185,0.7917953,0.7932043
11,0.82168055,0.81794184,0.81980664
12,0.82400984,0.8230083,0.82350487
13,0.83820534,0.8393786,0.8387911
14,0.8170078,0.81939507,0.8181937
15,0.8297075,0.83340955,0.8315502
16,0.8089593,0.81781566,0.81334424
17,0.8301787,0.8329139,0.8315437
18,0.8652137,0.86681443,0.86601067
19,0.8744256,0.8692714,0.871838
20,0.8845265,0.8812964,0.88290775
21,0.8815994,0.876158,0.87886715
22,0.84050536,0.82804644,0.83422804
