LAYER,P,R,F
0,0.43181002,0.4344324,0.4330004
1,0.6175488,0.6408104,0.62861437
2,0.746007,0.76110137,0.7534404
3,0.79498744,0.80535054,0.8001127
4,0.774028,0.78626055,0.780077
5,0.79584074,0.80664766,0.8011903
6,0.8162072,0.8233173,0.8197348
7,0.7568375,0.7604078,0.7586092
8,0.74834776,0.75116986,0.74975365
9,0.79206246,0.79618263,0.7941168
10,0.7713877,0.7740533,0.7727134
11,0.74373174,0.7487052,0.74620795
12,0.7905878,0.79458576,0.7925744
13,0.7456783,0.74958193,0.74762464
14,0.7715435,0.7713348,0.7714221
15,0.8006685,0.80686545,0.80372596
16,0.7909695,0.79837817,0.79461014
17,0.8076071,0.81790143,0.81269765
18,0.801359,0.8102299,0.80573356
19,0.7976252,0.7976647,0.797629
20,0.79607046,0.7977169,0.79689246
21,0.8390296,0.8351478,0.83708334
22,0.8399945,0.83196175,0.83594334
23,0.8599758,0.84977204,0.8548084
24,0.8779529,0.8749509,0.8764488
25,0.88508964,0.88316786,0.8841263
26,0.8846054,0.88398093,0.8842929
27,0.87183684,0.8773836,0.8745993
28,0.8077315,0.8112388,0.80947566
