LAYER,P,R,F
0,0.4965818,0.4177941,0.42802486
1,0.5648106,0.49256933,0.5128372
2,0.5957388,0.5318137,0.5521564
3,0.6400472,0.57493854,0.5990979
4,0.6100665,0.5393872,0.5668636
5,0.5742344,0.494589,0.5242332
6,0.5339801,0.44990373,0.48134795
7,0.57790756,0.50490445,0.53413993
8,0.6015476,0.52913404,0.55791444
9,0.62789124,0.5692161,0.5925541
10,0.6436905,0.59042996,0.6128862
11,0.65465826,0.61469775,0.6324926
12,0.65402865,0.6201169,0.6356122
13,0.6460082,0.606281,0.62465495
14,0.5881278,0.5459032,0.56521297
15,0.5318179,0.4907647,0.50967085
16,0.5663685,0.53396755,0.54926056
17,0.58221644,0.54978544,0.56506604
18,0.5787428,0.54587525,0.5608437
19,0.58644605,0.54788584,0.56476355
20,0.6092484,0.561616,0.582439
21,0.65427464,0.6106517,0.630207
22,0.71298045,0.6695207,0.68877727
23,0.8012243,0.7615277,0.77939516
24,0.66591597,0.6152642,0.63780856
