LAYER,P,R,F
0,0.4204956,0.397177,0.4083598
1,0.40392494,0.36143318,0.38142106
2,0.45355204,0.41598234,0.43382624
3,0.46345845,0.4239131,0.44268227
4,0.48971057,0.46275783,0.47569516
5,0.5054418,0.48630646,0.4954711
6,0.496251,0.47442636,0.48496628
7,0.49742135,0.46613562,0.4809476
8,0.48625326,0.45711243,0.4709963
9,0.46593282,0.43706408,0.4508188
10,0.4646721,0.44299245,0.4533173
11,0.47171792,0.4516226,0.46104228
12,0.49057424,0.47296605,0.4813273
13,0.5117828,0.5058539,0.50854206
14,0.54191893,0.53390104,0.53758436
15,0.53376323,0.5326789,0.5329686
16,0.5399565,0.5449421,0.5421872
17,0.5441322,0.5495364,0.5463149
18,0.55201584,0.56137687,0.55629206
19,0.55948514,0.56064415,0.5597729
20,0.6148879,0.6113099,0.6128499
21,0.67093307,0.6609918,0.6655943
22,0.7608838,0.7487483,0.7544218
23,0.85378915,0.8384997,0.84576756
24,0.77897567,0.76144964,0.7698943
