LAYER,P,R,F
0,0.3331494,0.33334547,0.33078986
1,0.3759862,0.37615487,0.37457034
2,0.40297127,0.40278864,0.4014899
3,0.38091293,0.3807171,0.37982556
4,0.4074989,0.40765202,0.4067196
5,0.43993944,0.4401788,0.43928087
6,0.4459692,0.4458849,0.44523638
7,0.44933996,0.44900057,0.44860885
8,0.4645446,0.46451378,0.46404004
9,0.44407108,0.4439164,0.44354972
10,0.48783863,0.48788112,0.48739904
11,0.47658485,0.47664165,0.47613555
12,0.44478145,0.4448533,0.44431788
13,0.5247195,0.52451193,0.52408385
14,0.5302833,0.53001636,0.5296558
15,0.5449812,0.5448057,0.5444276
16,0.5675005,0.56720024,0.5669144
17,0.5924842,0.5920884,0.5918712
18,0.66575634,0.665234,0.66512954
19,0.67264366,0.6723011,0.6721468
20,0.6525013,0.65198314,0.65193653
21,0.6115524,0.6106343,0.6107867
22,0.61670303,0.6156082,0.6158247
23,0.66887265,0.66781664,0.6680258
24,0.76559085,0.764785,0.76490796
