LAYER,P,R,F
0,0.38593766,0.37370443,0.37887192
1,0.67536974,0.6659506,0.6696151
2,0.7031351,0.6955972,0.698813
3,0.71019155,0.7033213,0.70642745
4,0.69465494,0.6877191,0.690799
5,0.7129938,0.7060067,0.7092251
6,0.74629754,0.7381899,0.7420154
7,0.7778405,0.7709178,0.7742153
8,0.801417,0.8012713,0.8012144
9,0.80556095,0.8043888,0.8048827
10,0.83489454,0.8330838,0.83390653
11,0.81620824,0.8140636,0.8150317
12,0.81831557,0.81564564,0.8168729
13,0.82058734,0.81817734,0.8192602
14,0.8130372,0.8101267,0.811438
15,0.8211276,0.81834126,0.819592
16,0.8316849,0.82903355,0.83023137
17,0.83052325,0.82729214,0.8287961
18,0.82924664,0.8261404,0.8275491
19,0.82490695,0.82092625,0.82277954
20,0.8020857,0.79919267,0.8005191
21,0.8104771,0.80693257,0.80861026
22,0.83409333,0.8318729,0.8329082
23,0.8429131,0.84046644,0.8416034
24,0.9588338,0.95722425,0.9580096
